Chlor,TSO2,pH,qual,Type
0.056,184,3.05,6,W
0.046,165,3.05,7,W
0.05,84,3.15,7,W
0.045,216,3.09,5,W
0.045,221,3.09,6,W
0.063,136,3.31,7,W
0.038,153,3.34,6,W
0.044,91,3.42,6,W
0.038,153,3.34,6,W
0.052,79,3.32,5,W
0.059,199,3.37,7,W
0.055,146,3.08,6,W
0.043,109,3.11,6,W
0.048,173,3.24,7,W
0.057,98,3.15,6,W
0.048,210,3.19,5,W
0.064,162,3.66,5,W
0.036,113,3.03,5,W
0.071,136,2.98,5,W
0.043,109,3.11,6,W
0.045,157,2.95,6,W
0.049,189,3.21,6,W
0.041,125,3.11,7,W
0.041,125,3.11,7,W
0.019,188,3.25,8,W
0.06,174,3.13,6,W
0.088,185,3.51,6,W
0.039,123,3.38,6,W
0.042,140,3.32,6,W
0.04,60,3.09,4,W
0.052,128,3.41,7,W
0.05,245,3.19,4,W
0.054,166,3.48,6,W
0.047,232,3.35,6,W
0.055,234,3.49,6,W
0.055,234,3.49,6,W
0.244,227,2.87,3,W
0.04,148,3.16,6,W
0.06,75,3.54,5,W
0.044,77,3.21,5,W
0.034,104,3.37,7,W
0.035,102,3.05,5,W
0.047,138,3.22,4,W
0.039,75,3.01,5,W
0.043,104,3.24,4,W
0.048,243,2.95,5,W
0.049,94,3.16,7,W
0.05,92,3.14,5,W
0.046,107,3.29,5,W
0.029,61,3.07,5,W
0.038,75,3.03,5,W
0.035,116,3.31,6,W
0.048,152,3.1,5,W
0.137,123,3.03,6,W
0.035,86,2.99,5,W
0.05,119,3.12,4,W
0.029,61,3.07,5,W
0.049,111,2.96,5,W
0.06,111,3.51,6,W
0.093,197,3.41,5,W
0.06,111,3.51,6,W
0.077,166,3.3,4,W
0.054,121,3.09,7,W
0.07,185,3.34,5,W
0.079,216,3.31,5,W
0.073,202,3.3,5,W
0.072,159,3.37,6,W
0.054,126,3.22,5,W
0.048,172,3.08,6,W
0.037,125,3.1,7,W
0.024,87,2.96,7,W
0.031,147,3.35,6,W
0.04,166,3,7,W
0.054,126,3.22,5,W
0.036,118,2.96,7,W
0.048,192,2.97,5,W
0.049,186,3.17,6,W
0.033,124,3.22,7,W
0.048,180,3.37,6,W
0.037,132,3.18,5,W
0.051,197,3.49,5,W
0.046,227,3.29,6,W
0.059,118,3.43,7,W
0.038,155,3.28,6,W
0.038,155,3.28,6,W
0.048,190,3.03,6,W
0.035,142,3.36,7,W
0.041,160,3.06,5,W
0.027,128,3.55,8,W
0.037,123,3.17,8,W
0.048,190,3.03,6,W
0.034,127,3.19,7,W
0.049,213,3.01,6,W
0.048,178,3.05,6,W
0.069,156,3.42,6,W
0.038,132,3.1,7,W
0.045,183,3.09,5,W
0.033,97,3.59,8,W
0.04,139,3.32,6,W
0.035,142,3.36,7,W
0.039,120,3.31,6,W
0.025,120,3.39,7,W
0.038,155,3.28,6,W
0.028,107,3.27,6,W
0.033,148,3.44,5,W
0.036,117,3.12,5,W
0.041,160,3.06,5,W
0.028,191,3.51,7,W
0.027,128,3.55,8,W
0.029,87,3.3,7,W
0.024,76,3.21,7,W
0.054,151,3.04,4,W
0.029,87,3.3,7,W
0.04,96,3.06,6,W
0.053,177,3.52,6,W
0.047,102,3.28,5,W
0.047,26,3.26,4,W
0.047,96,3.13,8,W
0.04,64,3.29,5,W
0.037,216,3.31,5,W
0.04,64,3.29,5,W
0.042,138,3.28,5,W
0.051,106,3.54,6,W
0.047,117,3.17,6,W
0.04,89,3.35,7,W
0.042,124,2.93,5,W
0.044,135,2.96,5,W
0.047,182,3.2,6,W
0.038,166,3.12,7,W
0.042,99,3.23,7,W
0.047,100,3.27,5,W
0.031,117,3.06,7,W
0.048,159,3.19,6,W
0.047,128,3.2,6,W
0.043,162,3.17,5,W
0.053,114,2.99,5,W
0.042,127,3.25,5,W
0.048,161,3.44,6,W
0.027,178,3.4,8,W
0.031,170,3.42,8,W
0.058,133,3.14,5,W
0.034,91,2.99,5,W
0.076,57,3.14,6,W
0.052,146,3.17,5,W
0.058,133,3.14,5,W
0.048,131,3.25,5,W
0.047,132,3.26,5,W
0.041,223,3.14,5,W
0.031,151,3.03,5,W
0.041,188,3.17,5,W
0.025,111,3.2,6,W
0.038,220,3.14,5,W
0.042,219,3.13,5,W
0.041,223,3.14,5,W
0.042,79,3.31,4,W
0.035,102,3.5,6,W
0.037,171,3.47,4,W
0.034,172,3.42,4,W
0.054,135,3.16,6,W
0.054,135,3.16,6,W
0.201,189.5,3.27,6,W
0.054,135,3.16,6,W
0.055,153,3.29,6,W
0.054,135,3.16,6,W
0.043,151,3.15,7,W
0.201,189.5,3.27,6,W
0.057,73,3.07,6,W
0.03,129,3.52,5,W
0.039,82,3.23,5,W
0.044,113,3.22,6,W
0.037,74,3.21,5,W
0.055,153,3.29,6,W
0.062,115,3.38,6,W
0.03,118,3.14,5,W
0.036,119,3.01,6,W
0.045,101,3.42,5,W
0.036,214,3.41,6,W
0.042,173,3,5,W
0.039,198,3.36,7,W
0.042,189,3.46,6,W
0.036,167,2.97,5,W
0.044,109,3.23,5,W
0.03,118,3.14,5,W
0.029,125,3.12,6,W
0.045,101,3.42,5,W
0.025,134,3.21,6,W
0.033,138,3.18,7,W
0.065,225,3.12,5,W
0.048,184,3.09,5,W
0.026,104,3.25,8,W
0.037,143,3.13,6,W
0.068,55,3.1,5,W
0.036,119,3.01,6,W
0.024,135,3.16,7,W
0.074,107,2.96,6,W
0.042,129.5,3.36,7,W
0.025,216,3.33,6,W
0.038,141,3.03,6,W
0.024,135,3.16,7,W
0.042,129.5,3.36,7,W
0.074,107,2.96,6,W
0.02,93,3,7,W
0.027,93,3.3,6,W
0.028,75,3.3,7,W
0.046,192,3.1,5,W
0.049,97,3.48,6,W
0.049,97,3.48,6,W
0.047,200,3.19,5,W
0.037,171,2.94,6,W
0.046,192,3.1,5,W
0.031,134,3.42,6,W
0.03,125,3.23,6,W
0.042,59,2.96,6,W
0.064,188,3.29,5,W
0.04,155,3.23,6,W
0.049,97,3.48,6,W
0.033,59,2.74,6,W
0.045,169,3.17,5,W
0.034,93,3.04,8,W
0.301,220,2.94,5,W
0.027,126,3.02,8,W
0.034,93,3.04,8,W
0.044,217.5,3.33,6,W
0.034,127,3.51,7,W
0.038,115,3.16,6,W
0.045,169,3.17,5,W
0.033,102,3.26,7,W
0.023,87,3.14,6,W
0.033,102,3.26,7,W
0.039,110,3.1,5,W
0.047,109,3.23,6,W
0.033,96,3.2,3,W
0.043,238,3.06,6,W
0.03,114,3.17,7,W
0.033,93,3.16,7,W
0.037,131,3.38,6,W
0.043,155,3.42,6,W
0.036,195,3.03,5,W
0.023,87,3.14,6,W
0.024,116,3.17,5,W
0.041,128,3.07,7,W
0.042,164,3.19,5,W
0.041,178,3.45,6,W
0.036,187,3.4,7,W
0.033,141,2.98,7,W
0.041,128,3.07,7,W
0.037,131,3.29,5,W
0.042,233,2.92,4,W
0.055,167,3.18,7,W
0.046,80,3.25,6,W
0.045,73,3.32,7,W
0.051,195,3.15,5,W
0.034,160,3.82,7,W
0.049,150,3.13,5,W
0.047,152,3.12,6,W
0.037,165,3.29,7,W
0.138,150,3.08,5,W
0.057,104,3.81,6,W
0.046,157,3.33,6,W
0.036,223,3.28,6,W
0.034,212,3.08,6,W
0.036,245,3.06,6,W
0.037,236,3.06,6,W
0.05,156,3.32,6,W
0.046,157,3.33,6,W
0.039,223,2.92,6,W
0.036,73,3.46,5,W
0.059,174,3.46,7,W
0.028,116,2.99,8,W
0.044,163,3.21,7,W
0.04,145,3.04,5,W
0.048,190,3.07,6,W
0.044,163,3.21,7,W
0.037,126,3.21,5,W
0.169,162,3.2,5,W
0.037,126,3.21,5,W
0.048,190,3.07,6,W
0.064,132,3.22,6,W
0.044,163,3.21,7,W
0.04,145,3.04,5,W
0.083,133,3.33,6,W
0.025,153,3.29,6,W
0.026,140,3.02,6,W
0.028,168,2.99,7,W
0.039,147,3.02,5,W
0.026,151,3.07,8,W
0.028,168,2.99,7,W
0.026,140,3.02,6,W
0.05,147,3.06,7,W
0.032,110,3.02,7,W
0.029,109,3.15,7,W
0.034,78,3.38,6,W
0.033,98,3.14,6,W
0.038,191,3.04,6,W
0.037,79,3.5,6,W
0.03,102,3,4,W
0.031,102,3,4,W
0.038,191,3.04,6,W
0.045,131,3.32,6,W
0.045,122,3.19,7,W
0.04,163,3.3,6,W
0.042,166,2.96,5,W
0.045,159,2.93,6,W
0.032,176,3.22,5,W
0.067,212,3.3,6,W
0.035,163,3.05,6,W
0.038,228,2.95,5,W
0.05,114,3.33,7,W
0.047,105,3.13,8,W
0.049,142,2.98,5,W
0.046,130,3.02,6,W
0.049,94,3.02,6,W
0.041,142,3.46,6,W
0.039,116,3.23,6,W
0.04,160,2.94,5,W
0.046,186,3.08,5,W
0.04,169,3.15,6,W
0.044,162,3.1,6,W
0.026,190,3.04,6,W
0.039,177,3.32,5,W
0.044,96,3.54,6,W
0.038,234,3.03,5,W
0.044,114,3.04,6,W
0.028,114,3.23,6,W
0.037,152,3.54,6,W
0.093,161,3.44,5,W
0.043,182,3.25,6,W
0.04,114,3.2,7,W
0.042,168,3.12,6,W
0.047,167,3.12,6,W
0.028,81,3.37,6,W
0.052,104,2.85,5,W
0.05,108,2.85,5,W
0.058,110,3.4,6,W
0.05,210,3.15,7,W
0.034,180,3.09,8,W
0.048,107,3.21,6,W
0.047,189,3.65,6,W
0.042,161,3.26,8,W
0.048,251,3.29,5,W
0.048,251,3.29,5,W
0.033,116,2.99,6,W
0.04,121,3.27,6,W
0.029,151,3.04,5,W
0.033,116,2.99,6,W
0.059,181,3.51,6,W
0.041,165,3.26,8,W
0.043,113,3.39,8,W
0.039,163,3.21,7,W
0.039,162,3.15,7,W
0.042,161,3.26,8,W
0.042,61,2.96,4,W
0.034,122,3.29,7,W
0.027,130,3.28,7,W
0.047,189,3.65,6,W
0.048,251,3.29,5,W
0.04,179,3.43,5,W
0.04,143,2.92,5,W
0.05,191,3.32,6,W
0.039,167,3.15,6,W
0.048,103,3.28,8,W
0.04,132,3.36,7,W
0.044,158,3.52,6,W
0.038,189.5,3.59,7,W
0.04,115,3.19,7,W
0.051,96,3.22,4,W
0.04,143,2.92,5,W
0.046,140,3.33,7,W
0.037,95,3.25,6,W
0.058,115,3.15,5,W
0.05,191,3.32,6,W
0.168,185,2.9,5,W
0.052,116,3.25,6,W
0.042,162,3.1,7,W
0.044,181,2.87,6,W
0.044,181,2.87,6,W
0.032,121,3.14,7,W
0.032,130,3.28,7,W
0.047,134,3.15,6,W
0.05,136,3.16,6,W
0.047,132,3.35,7,W
0.054,126,3.1,6,W
0.044,152,3.38,7,W
0.039,98,3.54,7,W
0.045,92,3.12,6,W
0.046,102,3.24,6,W
0.047,133,3.23,6,W
0.042,138,3.77,5,W
0.039,116,3.42,7,W
0.034,85,3.28,6,W
0.044,143,3.2,7,W
0.037,180,3.06,6,W
0.034,123,3.49,6,W
0.029,81,3.26,6,W
0.034,85,3.28,6,W
0.042,101,3.31,6,W
0.039,116,3.42,7,W
0.039,98,3.09,7,W
0.044,143,3.2,7,W
0.05,200,3.04,7,W
0.05,200,3.04,7,W
0.035,83,3.19,6,W
0.05,200,3.04,7,W
0.052,222,3.17,6,W
0.044,122,3.3,8,W
0.044,128,3.34,8,W
0.043,73,2.9,5,W
0.069,117,3.15,4,W
0.034,90,3.01,8,W
0.033,78,2.91,6,W
0.05,200,3.04,7,W
0.04,118,3.14,6,W
0.037,97,3.31,6,W
0.035,83,3.19,6,W
0.035,155,3.25,8,W
0.042,124,3.14,6,W
0.037,130,3.29,6,W
0.038,63,3.36,5,W
0.045,128,3.36,6,W
0.057,366.5,3.04,3,W
0.044,132,3.13,5,W
0.04,103,3.07,7,W
0.042,137,3.1,4,W
0.047,90,3.27,6,W
0.051,105,3.32,5,W
0.056,225,3.06,4,W
0.042,124,3.14,6,W
0.052,128,3.25,6,W
0.045,140,3.05,6,W
0.042,156,3.13,5,W
0.033,81,3,7,W
0.051,87,3.3,5,W
0.048,119,3,4,W
0.051,87,3.3,5,W
0.03,94,3.1,7,W
0.031,99,3.07,6,W
0.042,156,3.13,5,W
0.053,94,3.17,5,W
0.051,243,2.99,5,W
0.033,81,3,7,W
0.05,210,3.23,5,W
0.052,226,3.16,5,W
0.05,162,3.03,5,W
0.057,117,3.16,5,W
0.061,117,3.08,5,W
0.04,125,3.24,6,W
0.033,158,3.14,6,W
0.044,130,3.25,6,W
0.063,92,3.38,6,W
0.055,150,3.23,6,W
0.055,150,3.23,6,W
0.036,172,3.2,6,W
0.033,158,3.14,6,W
0.048,138,3.01,5,W
0.033,158,3.14,6,W
0.034,156,3.14,7,W
0.054,231,2.99,5,W
0.069,150,3,5,W
0.063,92,3.38,6,W
0.044,130,3.25,6,W
0.044,144,3.31,6,W
0.048,133,3.24,6,W
0.05,128,3.28,6,W
0.048,164,3.56,6,W
0.055,150,3.23,6,W
0.051,137,3.06,6,W
0.031,151,3.16,8,W
0.044,163,3.46,5,W
0.036,172,3.2,6,W
0.03,96,3.13,7,W
0.046,60,3.19,5,W
0.048,138,3.01,5,W
0.034,156,3.14,7,W
0.033,158,3.14,6,W
0.052,48,3.15,5,W
0.038,128,3.21,6,W
0.057,85,2.99,4,W
0.05,148,3.46,6,W
0.028,184,3.22,5,W
0.04,104,3.05,6,W
0.044,159,2.99,6,W
0.056,124,3.32,6,W
0.05,148,3.46,6,W
0.048,124,3.37,6,W
0.046,187,3.62,6,W
0.057,85,2.99,4,W
0.053,134,3.14,3,W
0.034,126,2.98,6,W
0.033,51,3.3,6,W
0.054,169,3.51,6,W
0.044,224,3.18,6,W
0.037,187,2.99,5,W
0.03,117,3.55,6,W
0.031,97,3.06,5,W
0.046,188,3.14,5,W
0.033,180,3.13,8,W
0.033,186,3.14,8,W
0.03,197,3.13,7,W
0.039,62,3.41,5,W
0.044,126,3.13,7,W
0.041,86,3.16,6,W
0.043,155,3.22,6,W
0.03,132,2.99,7,W
0.04,169,3.05,5,W
0.034,121,3.13,5,W
0.039,124,3.27,7,W
0.045,126,3.26,8,W
0.041,130,3.04,7,W
0.051,205,3.1,6,W
0.044,160,3.22,6,W
0.06,170,3.55,6,W
0.053,144,3.16,5,W
0.061,145,3.23,5,W
0.042,126,3.02,6,W
0.034,134,2.99,7,W
0.031,161,3.01,6,W
0.03,132,2.99,7,W
0.039,136,3.14,6,W
0.037,154,3.02,6,W
0.038,163,3.02,6,W
0.035,95,3.04,6,W
0.04,169,3.05,5,W
0.038,167,3.05,6,W
0.034,121,3.13,5,W
0.041,164,3.25,5,W
0.044,185,3.34,6,W
0.042,158,3.28,6,W
0.037,156,3.04,5,W
0.037,156,3.15,6,W
0.045,195,3.04,6,W
0.037,156,3.15,6,W
0.042,158,3.28,6,W
0.037,156,3.04,5,W
0.037,174,3.1,7,W
0.049,209,3.14,7,W
0.028,107,3.24,6,W
0.044,176,3.38,6,W
0.031,122,3.03,6,W
0.028,24,2.91,5,W
0.04,148,3.13,6,W
0.034,106,3.21,6,W
0.028,107,3.24,6,W
0.044,176,3.38,6,W
0.029,86,3.16,4,W
0.037,104,3.23,6,W
0.038,99,3.2,6,W
0.028,24,2.91,5,W
0.049,152,3.18,6,W
0.034,156,3.13,6,W
0.034,158,3.12,6,W
0.025,102,3.34,6,W
0.031,122,3.03,6,W
0.051,157,3.18,6,W
0.122,129,3.09,6,W
0.038,152,3.32,7,W
0.057,156,3.43,7,W
0.056,164,3.29,7,W
0.032,148,3.45,7,W
0.036,182,3.08,6,W
0.051,157,3.18,6,W
0.045,115,3.27,4,W
0.036,56,2.96,4,W
0.033,156,3.29,6,W
0.059,112,3.15,5,W
0.027,126,3.3,7,W
0.033,156,3.29,6,W
0.059,112,3.15,5,W
0.044,117,3.14,6,W
0.046,158,3.06,5,W
0.055,110,3.33,5,W
0.055,188,3.52,6,W
0.038,157,3.21,5,W
0.041,159,3.21,5,W
0.055,188,3.52,6,W
0.063,168,3.54,6,W
0.045,116,3.16,5,W
0.048,108,2.88,4,W
0.053,182,3.63,6,W
0.05,74,3.32,6,W
0.05,128,3.31,4,W
0.046,168,3.58,5,W
0.062,191,3.22,4,W
0.046,119,3.18,5,W
0.039,84,2.94,6,W
0.039,108,3.03,7,W
0.046,168,3.58,5,W
0.045,209,3.21,6,W
0.039,165,3.02,5,W
0.042,147,3.11,5,W
0.045,209,3.21,6,W
0.039,165,3.02,5,W
0.036,122,3.35,6,W
0.028,165,3.08,6,W
0.042,161,3.34,6,W
0.047,111,3.13,6,W
0.043,63,3.13,6,W
0.047,136,2.95,6,W
0.046,206,3.24,6,W
0.034,122,3.15,5,W
0.046,206,3.24,6,W
0.172,108,3.27,6,W
0.167,94,3.11,6,W
0.047,136,2.95,6,W
0.046,223,3.08,6,W
0.034,77,3.28,5,W
0.034,53,3.32,7,W
0.048,137,3.24,5,W
0.032,113,3.37,9,W
0.031,109,3.07,6,W
0.04,118,3.34,7,W
0.057,235,2.98,5,W
0.048,212,3.09,7,W
0.031,109,3.07,6,W
0.04,100,3.12,6,W
0.027,87,3.03,7,W
0.035,120,3.26,7,W
0.035,131,3.14,5,W
0.047,140,3.4,6,W
0.045,206,3.09,6,W
0.065,143,3.22,6,W
0.045,243,3.14,6,W
0.029,128,3.41,8,W
0.027,87,3.03,7,W
0.05,131,3.13,5,W
0.045,169,3.11,6,W
0.053,118,3.36,6,W
0.039,131,3.09,7,W
0.037,161,3.38,6,W
0.048,195,3.31,6,W
0.05,131,3.13,5,W
0.057,108,3.19,6,W
0.047,98,2.94,6,W
0.053,121,3.23,5,W
0.057,108,3.19,6,W
0.041,111,3.41,8,W
0.037,110,3.2,7,W
0.048,228,3.03,6,W
0.035,126,3.26,6,W
0.043,149,3.21,5,W
0.042,160,3.13,6,W
0.239,220,2.96,5,W
0.042,105,3.1,5,W
0.043,149,3.21,5,W
0.054,151,3.27,6,W
0.058,134,3.42,7,W
0.049,144,3.09,7,W
0.058,134,3.42,7,W
0.048,149,3.17,7,W
0.054,151,3.27,6,W
0.036,99,3.05,7,W
0.045,100,3.4,5,W
0.058,166,3.65,4,W
0.044,131,3.08,7,W
0.076,209,3.12,6,W
0.044,118,3.24,4,W
0.053,176,3.15,6,W
0.052,184,3.11,5,W
0.046,142,3.09,5,W
0.048,98,3.19,5,W
0.06,162,3.26,6,W
0.05,220,3.12,5,W
0.049,217,3.16,5,W
0.049,217,3.17,6,W
0.047,191,3.23,6,W
0.047,114,2.92,7,W
0.053,176,3.15,6,W
0.059,177,3.27,4,W
0.036,114,3.41,8,W
0.04,84,3.25,5,W
0.055,128,2.95,6,W
0.033,72,3.12,7,W
0.036,124,3.14,6,W
0.046,160,3.2,6,W
0.028,87,3.4,7,W
0.138,168,3.2,5,W
0.137,163,3.2,5,W
0.046,188,3.3,6,W
0.047,224,3.17,5,W
0.028,87,3.4,7,W
0.032,156,3.11,6,W
0.045,170,3.36,6,W
0.034,117,3.33,5,W
0.054,197,3.22,5,W
0.046,212,3.74,6,W
0.055,205,3.12,7,W
0.055,205,3.12,7,W
0.049,195,3.06,7,W
0.055,205,3.12,7,W
0.047,147,3.46,5,W
0.049,195,3.06,7,W
0.041,216,3.55,3,W
0.034,123,3.27,6,W
0.05,175,3.11,4,W
0.055,205,3.12,7,W
0.04,213,3.28,6,W
0.048,198,3.25,5,W
0.06,150,3.37,6,W
0.036,132,3.25,6,W
0.041,190,3.08,6,W
0.038,190,3.32,6,W
0.04,213,3.28,6,W
0.043,175,3.38,6,W
0.043,121,3.44,6,W
0.033,208,3.14,5,W
0.046,114,3.25,4,W
0.058,151,3.16,5,W
0.057,148,3.16,5,W
0.035,127,3.41,6,W
0.038,157,3.41,6,W
0.056,179,3.45,5,W
0.051,161,3.36,4,W
0.055,180,3.44,5,W
0.032,67,3.08,5,W
0.037,120,3.24,5,W
0.061,178,3.22,6,W
0.059,136,3.3,6,W
0.123,116,3.07,5,W
0.04,148,3.32,8,W
0.046,108,3.26,6,W
0.044,142,3.1,6,W
0.05,178,3.16,4,W
0.043,69,3.38,6,W
0.044,180,3.46,7,W
0.052,190,3.5,7,W
0.041,148,3.24,6,W
0.04,148,3.32,8,W
0.056,122,3.47,6,W
0.064,152,3.29,6,W
0.034,97,3.23,6,W
0.045,212,3.48,6,W
0.123,116,3.07,5,W
0.036,138,3.2,6,W
0.031,99,2.94,6,W
0.055,198,3.36,6,W
0.031,111,3.14,5,W
0.041,123,2.99,6,W
0.057,185,3.39,6,W
0.042,178,3.29,6,W
0.052,104,3.14,5,W
0.057,185,3.39,6,W
0.054,101,3.24,5,W
0.032,55,2.91,4,W
0.061,150,3.14,6,W
0.038,152,3.18,6,W
0.039,142,3.14,6,W
0.042,169,3.23,6,W
0.133,136,3.1,5,W
0.053,238,3.16,5,W
0.05,87,3.14,5,W
0.042,169,3.23,6,W
0.044,102,3.28,5,W
0.056,135,3.2,6,W
0.045,174,3.11,6,W
0.046,153,3.38,7,W
0.045,197,3.24,6,W
0.049,141,3.42,7,W
0.042,93,3.31,6,W
0.039,142,3.14,6,W
0.053,202,3.22,5,W
0.056,215,3.17,5,W
0.038,53,2.8,5,W
0.046,224,3.17,5,W
0.042,181,3.31,6,W
0.044,124,3.16,6,W
0.037,98,3.46,7,W
0.037,112,3.4,6,W
0.053,202,3.22,5,W
0.056,215,3.17,5,W
0.054,209,3.17,5,W
0.051,179,3.28,5,W
0.048,144,3.17,5,W
0.046,102,3.16,7,W
0.059,181,3.04,6,W
0.041,141,3.34,6,W
0.059,178,3.04,6,W
0.059,181,3.04,6,W
0.054,99,3.16,6,W
0.03,135,3.24,6,W
0.069,163,3.56,5,W
0.041,141,3.34,6,W
0.034,150,3.42,8,W
0.034,150,3.42,8,W
0.052,150,3.24,5,W
0.051,200,3.49,4,W
0.034,142,3.05,6,W
0.067,100,3.27,6,W
0.038,127,3.33,7,W
0.034,142,3.05,6,W
0.04,115,3.07,7,W
0.033,158,3.33,7,W
0.035,122,3.16,5,W
0.026,189,3.08,7,W
0.042,176,3.15,5,W
0.054,117,3.36,5,W
0.056,153,3.2,6,W
0.062,187,3.27,5,W
0.064,120,3.32,5,W
0.061,149,3.16,6,W
0.037,126,3.19,5,W
0.039,128,3.27,8,W
0.073,173,3.06,6,W
0.04,162,3.39,6,W
0.049,191,3.08,6,W
0.042,67,3.07,5,W
0.073,173,3.06,6,W
0.04,162,3.39,6,W
0.049,191,3.08,6,W
0.065,119,3.16,5,W
0.046,116,3.15,5,W
0.053,184,3.28,6,W
0.065,119,3.16,5,W
0.053,184,3.28,6,W
0.049,184,3.18,6,W
0.046,116,3.15,5,W
0.042,72,3.29,6,W
0.038,110,3.19,6,W
0.03,100,3,7,W
0.038,164,3.09,6,W
0.029,131,3.36,7,W
0.034,114,3.19,4,W
0.032,96,3.38,6,W
0.032,131,3.19,6,W
0.038,164,3.09,6,W
0.035,110,3.07,5,W
0.03,100,3,7,W
0.054,231,3.36,6,W
0.033,165,3.22,5,W
0.034,84,3.42,5,W
0.033,165,3.22,5,W
0.054,231,3.36,6,W
0.051,240,3.36,6,W
0.031,167,3.12,7,W
0.031,167,3.12,7,W
0.03,153,3.13,7,W
0.031,167,3.12,7,W
0.03,153,3.13,7,W
0.044,160,3.6,6,W
0.211,213,2.99,5,W
0.123,104,3.04,6,W
0.037,102,3.27,7,W
0.052,247,3.44,6,W
0.123,104,3.04,6,W
0.054,164,3.42,5,W
0.037,102,3.27,7,W
0.039,249,3.07,6,W
0.059,139,3.33,6,W
0.029,94,3.29,6,W
0.049,157,3.27,5,W
0.041,180,3.07,5,W
0.049,157,3.27,5,W
0.052,243,2.98,5,W
0.042,189,3.25,6,W
0.046,181,3.2,7,W
0.029,94,3.29,6,W
0.049,127,3.6,7,W
0.058,107,3.28,5,W
0.048,172,3.29,7,W
0.053,197,3.14,6,W
0.056,181,3.11,4,W
0.056,176,3.14,5,W
0.056,171,3.13,5,W
0.053,197,3.14,6,W
0.046,161,3.32,6,W
0.054,186,3.14,6,W
0.054,104,3.24,7,W
0.049,202,3.24,5,W
0.042,122,3.43,6,W
0.255,142,3.12,6,W
0.05,199,3.34,6,W
0.031,137,3.1,6,W
0.031,144,3.15,7,W
0.035,140,3.04,7,W
0.049,163,3.31,6,W
0.048,168,3.34,6,W
0.047,166,3.09,5,W
0.047,166,3.09,5,W
0.034,154,3.06,5,W
0.058,165,3.38,5,W
0.053,140,3.18,6,W
0.032,78,3.08,6,W
0.043,248,3.03,6,W
0.043,103,3.06,6,W
0.045,213,3.18,5,W
0.043,103,3.06,6,W
0.045,213,3.18,5,W
0.045,213,3.18,5,W
0.029,124,3.4,5,W
0.043,103,3.06,6,W
0.036,107,3.2,5,W
0.05,178,3.37,5,W
0.049,185,3.34,5,W
0.036,112,3.14,5,W
0.045,213,3.18,5,W
0.045,197,3.18,5,W
0.046,142,3.3,5,W
0.046,142,3.3,5,W
0.056,161,3.14,5,W
0.039,212,2.93,6,W
0.037,166,2.9,6,W
0.037,166,2.9,6,W
0.053,89,3.29,6,W
0.03,104,3.29,7,W
0.033,166,2.72,6,W
0.039,118,2.96,5,W
0.04,183,2.93,6,W
0.04,106,3.01,5,W
0.039,212,2.93,6,W
0.037,166,2.9,6,W
0.037,120,3.16,5,W
0.029,158,3.12,7,W
0.038,98,2.93,7,W
0.062,126,3.21,5,W
0.045,180,3.08,5,W
0.041,71,3.04,6,W
0.036,112,2.96,6,W
0.049,153,3.09,6,W
0.033,135,3,6,W
0.038,98,2.93,7,W
0.045,180,3.08,5,W
0.041,71,3.04,6,W
0.044,177,3.17,6,W
0.049,189,3.24,6,W
0.052,158,3.03,7,W
0.062,126,3.21,5,W
0.055,127,3.29,5,W
0.028,59,2.97,5,W
0.032,106,3.15,4,W
0.204,97,3.16,6,W
0.208,96,3.16,6,W
0.052,169,3.05,5,W
0.047,193,3.23,6,W
0.036,172,3.08,5,W
0.043,228,3.04,6,W
0.047,307.5,3.24,3,W
0.042,93,2.89,6,W
0.083,182,3,5,W
0.04,87,3.23,6,W
0.036,172,3.08,5,W
0.043,228,3.04,6,W
0.08,172,3.23,7,W
0.031,84,3.33,5,W
0.052,143,3.14,5,W
0.052,256,2.93,5,W
0.052,143,3.14,5,W
0.052,256,2.93,5,W
0.041,195,3.18,5,W
0.051,197,3.02,5,W
0.049,152,2.99,6,W
0.066,158,3.6,6,W
0.051,197,3.02,5,W
0.046,135,3.34,7,W
0.054,160,3.04,5,W
0.036,219,2.96,5,W
0.046,185,3.02,4,W
0.028,142,3.01,7,W
0.044,172,3.37,6,W
0.036,219,2.96,5,W
0.063,169,2.89,5,W
0.027,63,3.37,5,W
0.058,89,3.29,6,W
0.056,238,2.96,6,W
0.024,91,2.79,5,W
0.024,91,2.79,5,W
0.039,123,2.9,5,W
0.041,99,3.17,5,W
0.056,238,2.96,6,W
0.046,173,3.19,5,W
0.076,163,3.03,6,W
0.047,114,3.12,6,W
0.044,186,3.09,7,W
0.047,142,3.43,6,W
0.03,164,3.53,7,W
0.036,116,3.23,6,W
0.03,164,3.53,7,W
0.086,133,3.15,5,W
0.084,139,3.17,5,W
0.084,139,3.17,5,W
0.048,197,3.24,6,W
0.057,208,3.57,5,W
0.048,143,3.25,6,W
0.044,103,3.19,6,W
0.042,184,3.09,6,W
0.056,212.5,3.14,8,W
0.056,212.5,3.14,8,W
0.056,212.5,3.14,8,W
0.056,212.5,3.14,8,W
0.056,212.5,3.14,8,W
0.049,181,3.2,6,W
0.047,151,3.2,6,W
0.043,176,3.12,5,W
0.043,201,3.11,6,W
0.034,102,3.08,7,W
0.054,110,3.24,4,W
0.056,212.5,3.14,8,W
0.057,103,3.5,5,W
0.053,180,3.13,6,W
0.043,168,3.34,6,W
0.055,170,3.34,6,W
